id,company,contact_name,first_name,role,trade_niche,division,city,state,region,email,phone,website,sample_project_proof,sample_file_reference,verification_status,deliverability_score,target_outreach_day,pipeline_status,subject,typical_value
2610,Premier Commercial Systems,Kevin Moore,Kevin,Chief Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Salt Lake City,UT,Mountain,kevin@premierbuilds.com,(359) 227-1340,https://www.premierbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,7,Ready for Dispatch,scaling your Commercial General Contractors bid volume without hiring full-time,"$600 - $1,800 per project (or $2,000/mo retainer)"
2611,Trident Paving Builders,Greg Jones,Greg,VP of Operations,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Nashville,TN,Southeast,gjones@tridentconcrete.com,(540) 312-9087,https://www.tridentconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,"Greg, takeoff support for Trident Paving Builders?",$300 - $800 per project
2612,Legacy Flooring Group,Jennifer Hernandez,Jennifer,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Seattle,WA,Northwest,jennifer.hernandez@legacyflooring.com,(391) 533-9442,https://www.legacyflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,quick question regarding Legacy Flooring Group's takeoff bandwidth,$150 - $350 per project
2613,Beacon Energy Systems,Rachel Lewis,Rachel,Senior Estimator,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Charlotte,NC,Southeast,estimating@beaconenergy.com,(803) 573-7958,https://www.beaconenergy.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,"Rachel, takeoff support for Beacon Energy Systems?",$350 - $700 per project
2614,Summit Construction Enterprises,Eric Sanchez,Eric,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Sacramento,CA,West,esanchez@summitbuilds.com,(467) 842-7003,https://www.summitbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,4,Ready for Dispatch,"Eric, takeoff support for Summit Construction Enterprises?","$600 - $1,800 per project (or $2,000/mo retainer)"
2615,Integrity Construction Contractors,Brad Lewis,Brad,President,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,San Antonio,TX,South,brad@integritybuilds.com,(748) 230-7774,https://www.integritybuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,bid capacity for Integrity Construction Contractors - 24-48 hr turnaround,$250 - $600 per project
2616,Legacy Exterior Group,Emily Sanchez,Emily,Preconstruction Director,Roofing & Siding,Division 07 - Thermal & Moisture Protection,San Francisco Bay Area,CA,West,esanchez@legacyroofing.com,(689) 523-2205,https://www.legacyroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,6,Ready for Dispatch,bid capacity for Legacy Exterior Group - 24-48 hr turnaround,$150 - $400 per project
2617,Metro Power Construction,Nicole Moore,Nicole,Owner,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Orlando,FL,Southeast,nicole@metropower.com,(214) 905-4348,https://www.metropower.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,outsource takeoff support for Metro Power Construction (Orlando),$350 - $700 per project
2618,Strategic Power Solutions,Sarah Wilson,Sarah,Managing Partner,MEP - Electrical,Division 26 - Electrical,Salt Lake City,UT,Mountain,swilson@strategicpower.com,(698) 936-4966,https://www.strategicpower.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,quick question regarding Strategic Power Solutions's takeoff bandwidth,$350 - $750 per project
2619,Metro Builders Associates,Jessica Hernandez,Jessica,VP of Operations,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Seattle,WA,Northwest,estimating@metrobuilds.com,(388) 609-4853,https://www.metrobuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,2,Ready for Dispatch,scaling your Commercial General Contractors bid volume without hiring full-time,"$600 - $1,800 per project (or $2,000/mo retainer)"
2620,Cornerstone Painting Partners,James Taylor,James,VP of Operations,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Nashville,TN,Southeast,jtaylor@cornerstonecoatings.com,(295) 948-6315,https://www.cornerstonecoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),94,3,Ready for Dispatch,bid capacity for Cornerstone Painting Partners - 24-48 hr turnaround,$150 - $350 per project
2621,Pinnacle Masonry Contractors,Anthony Hernandez,Anthony,Managing Partner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Dallas-Fort Worth,TX,South,estimating@pinnacleconcrete.com,(433) 755-7632,https://www.pinnacleconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,4,Ready for Dispatch,outsource takeoff support for Pinnacle Masonry Contractors (Dallas-Fort Worth),$300 - $800 per project
2622,Beacon Systems Enterprises,Rachel Smith,Rachel,Managing Partner,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Indianapolis,IN,Midwest,estimating@beaconsystems.com,(208) 543-5843,https://www.beaconsystems.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,"Rachel, takeoff support for Beacon Systems Enterprises?",$350 - $700 per project
2623,Matrix Builders Associates,Megan Thomas,Megan,VP of Operations,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Houston,TX,South,estimating@matrixbuilds.com,(708) 398-6127,https://www.matrixbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,quick question regarding Matrix Builders Associates's takeoff bandwidth,$250 - $600 per project
2624,Matrix Systems Construction,Lisa White,Lisa,Senior Estimator,MEP - Electrical,Division 26 - Electrical,New York Metro,NY,Northeast,estimating@matrixsystems.com,(900) 355-6751,https://www.matrixsystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,bid capacity for Matrix Systems Construction - 24-48 hr turnaround,$350 - $750 per project
2625,United General Contracting Services,Lisa Miller,Lisa,Preconstruction Director,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Columbus,OH,Midwest,lmiller@unitedbuilds.com,(428) 219-1645,https://www.unitedbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,1,Ready for Dispatch,"Lisa, takeoff support for United General Contracting Services?","$600 - $1,800 per project (or $2,000/mo retainer)"
2626,Cornerstone Flooring Builders,Matthew Hernandez,Matthew,Senior Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Austin,TX,South,bids@cornerstoneflooring.com,(402) 802-8682,https://www.cornerstoneflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,"Matthew, takeoff support for Cornerstone Flooring Builders?",$150 - $350 per project
2627,United Electric Contractors,Ashley Martinez,Ashley,Preconstruction Director,MEP - Electrical,Division 26 - Electrical,Las Vegas,NV,Southwest,ashley@unitedelectric.com,(841) 853-3278,https://www.unitedelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,bid capacity for United Electric Contractors - 24-48 hr turnaround,$350 - $750 per project
2628,Titan Finishes Services,Brad Jackson,Brad,Managing Partner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Sacramento,CA,West,brad@titancoatings.com,(283) 280-2689,https://www.titancoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),98,4,Ready for Dispatch,bid capacity for Titan Finishes Services - 24-48 hr turnaround,$150 - $350 per project
2629,Precision General Contracting Construction,Chris Williams,Chris,Preconstruction Director,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Washington DC Metro,DC/VA/MD,Mid-Atlantic,chris@precisionbuilds.com,(748) 924-9928,https://www.precisionbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,5,Ready for Dispatch,bid capacity for Precision General Contracting Construction - 24-48 hr turnaround,"$600 - $1,800 per project (or $2,000/mo retainer)"
2630,Strategic Electric Group,Eric Martin,Eric,Senior Estimator,MEP - Electrical,Division 26 - Electrical,San Francisco Bay Area,CA,West,emartin@strategicelectric.com,(668) 679-3516,https://www.strategicelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
2631,Cornerstone Energy Partners,Daniel Thompson,Daniel,VP of Operations,MEP - Electrical,Division 26 - Electrical,San Antonio,TX,South,daniel.thompson@cornerstoneenergy.com,(627) 931-7112,https://www.cornerstoneenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,bid capacity for Cornerstone Energy Partners - 24-48 hr turnaround,$350 - $750 per project
2632,Premier Paving Services,Megan Perez,Megan,VP of Operations,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Los Angeles,CA,West,bids@premierconcrete.com,(766) 463-3592,https://www.premierconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,quick question regarding Premier Paving Services's takeoff bandwidth,$300 - $800 per project
2633,Trident Electrix Associates,Jennifer Moore,Jennifer,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Philadelphia,PA,Northeast,jmoore@tridentelectrix.com,(487) 483-3962,https://www.tridentelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,scaling your MEP - Plumbing & Piping bid volume without hiring full-time,$300 - $650 per project
2634,Titan Flooring Contractors,Emily Johnson,Emily,Preconstruction Director,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Kansas City,MO,Midwest,ejohnson@titanflooring.com,(727) 422-7198,https://www.titanflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,3,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
2635,Titan Coatings Associates,James Johnson,James,Senior Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Denver,CO,Mountain,bids@titancoatings.com,(823) 211-3256,https://www.titancoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,bid capacity for Titan Coatings Associates - 24-48 hr turnaround,$150 - $350 per project
2636,Pinnacle Electric Contractors,Ashley Moore,Ashley,Senior Estimator,MEP - Electrical,Division 26 - Electrical,Houston,TX,South,estimating@pinnacleelectric.com,(601) 253-6487,https://www.pinnacleelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,5,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
2637,Beacon Finishes Builders,James Taylor,James,President,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Denver,CO,Mountain,estimating@beaconcoatings.com,(329) 353-6226,https://www.beaconcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,scaling your Painting & Wallcovering bid volume without hiring full-time,$150 - $350 per project
2638,Metro Finishes Group,Greg Johnson,Greg,President,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Kansas City,MO,Midwest,gjohnson@metrocoatings.com,(655) 555-7965,https://www.metrocoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),96,7,Ready for Dispatch,"Greg, takeoff support for Metro Finishes Group?",$150 - $350 per project
2639,Strategic Coatings Contractors,Emily Williams,Emily,VP of Operations,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Miami-Fort Lauderdale,FL,Southeast,emily@strategiccoatings.com,(503) 474-2788,https://www.strategiccoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,scaling your Painting & Wallcovering bid volume without hiring full-time,$150 - $350 per project
2640,Apex Power Systems,Michael Perez,Michael,President,MEP - Plumbing & Piping,Division 22 - Plumbing,New York Metro,NY,Northeast,michael.perez@apexpower.com,(601) 447-9425,https://www.apexpower.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,"Michael, takeoff support for Apex Power Systems?",$300 - $650 per project
2641,Legacy Painting Contractors,Lisa Sanchez,Lisa,Preconstruction Director,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Tampa-St. Petersburg,FL,Southeast,lsanchez@legacycoatings.com,(330) 288-2638,https://www.legacycoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,"Lisa, takeoff support for Legacy Painting Contractors?",$150 - $350 per project
2642,Premier Commercial Paint Partners,Robert Lopez,Robert,Owner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Salt Lake City,UT,Mountain,rlopez@premiercoatings.com,(664) 492-7081,https://www.premiercoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,quick question regarding Premier Commercial Paint Partners's takeoff bandwidth,$150 - $350 per project
2643,Cornerstone Roofing Builders,Mark Smith,Mark,Managing Partner,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Chicago,IL,Midwest,msmith@cornerstoneroofing.com,(316) 950-6154,https://www.cornerstoneroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,5,Ready for Dispatch,bid capacity for Cornerstone Roofing Builders - 24-48 hr turnaround,$150 - $400 per project
2644,Premier Commercial Services,Ashley Perez,Ashley,Preconstruction Director,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Seattle,WA,Northwest,aperez@premierbuilds.com,(894) 294-6660,https://www.premierbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,outsource takeoff support for Premier Commercial Services (Seattle),$250 - $600 per project
2645,Alliance Systems Construction,Jeff Thompson,Jeff,Owner,MEP - Electrical,Division 26 - Electrical,Raleigh-Durham,NC,Southeast,estimating@alliancesystems.com,(434) 603-5688,https://www.alliancesystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,"Jeff, takeoff support for Alliance Systems Construction?",$350 - $750 per project
2646,Metro Commercial Paint Enterprises,Jessica Davis,Jessica,President,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Las Vegas,NV,Southwest,jdavis@metrocoatings.com,(229) 252-2149,https://www.metrocoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),95,1,Ready for Dispatch,outsource takeoff support for Metro Commercial Paint Enterprises (Las Vegas),$150 - $350 per project
2647,Strategic Painting Solutions,Chris Thomas,Chris,VP of Operations,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Miami-Fort Lauderdale,FL,Southeast,bids@strategiccoatings.com,(568) 863-3244,https://www.strategiccoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,outsource takeoff support for Strategic Painting Solutions (Miami-Fort Lauderdale),$150 - $350 per project
2648,Precision General Contracting Associates,Brad Martin,Brad,Chief Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Dallas-Fort Worth,TX,South,brad@precisionbuilds.com,(703) 987-5357,https://www.precisionbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,bid capacity for Precision General Contracting Associates - 24-48 hr turnaround,"$600 - $1,800 per project (or $2,000/mo retainer)"
2649,Pinnacle Concrete Builders,Steve Miller,Steve,Senior Estimator,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,San Francisco Bay Area,CA,West,smiller@pinnacleconcrete.com,(779) 533-6674,https://www.pinnacleconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,4,Ready for Dispatch,outsource takeoff support for Pinnacle Concrete Builders (San Francisco Bay Area),$300 - $800 per project
2650,Premier Roofing Partners,Amanda Garcia,Amanda,VP of Operations,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Atlanta,GA,Southeast,agarcia@premierroofing.com,(822) 520-8423,https://www.premierroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,5,Ready for Dispatch,outsource takeoff support for Premier Roofing Partners (Atlanta),$150 - $400 per project
2651,Beacon Tile Partners,Greg Martinez,Greg,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Columbus,OH,Midwest,gmartinez@beaconflooring.com,(443) 952-3056,https://www.beaconflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,bid capacity for Beacon Tile Partners - 24-48 hr turnaround,$150 - $350 per project
2652,Vertex Builders Group,Eric Jones,Eric,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Phoenix,AZ,Southwest,bids@vertexbuilds.com,(565) 932-1593,https://www.vertexbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,scaling your Commercial General Contractors bid volume without hiring full-time,"$600 - $1,800 per project (or $2,000/mo retainer)"
2653,Trident Structures Services,Paul Jones,Paul,Owner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Orlando,FL,Southeast,estimating@tridentconcrete.com,(772) 802-2006,https://www.tridentconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for Trident Structures Services (Orlando),$300 - $800 per project
2654,Vanguard Flooring Solutions,Jason Robinson,Jason,President,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),San Diego,CA,West,bids@vanguardflooring.com,(703) 754-1203,https://www.vanguardflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,outsource takeoff support for Vanguard Flooring Solutions (San Diego),$150 - $350 per project
2655,Pinnacle Power Group,Greg Miller,Greg,Owner,MEP - Plumbing & Piping,Division 22 - Plumbing,Las Vegas,NV,Southwest,gmiller@pinnaclepower.com,(369) 245-3483,https://www.pinnaclepower.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,outsource takeoff support for Pinnacle Power Group (Las Vegas),$300 - $650 per project
2656,Beacon Electrix Systems,Paul Garcia,Paul,Senior Estimator,MEP - Electrical,Division 26 - Electrical,Seattle,WA,Northwest,bids@beaconelectrix.com,(904) 645-8742,https://www.beaconelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"Paul, takeoff support for Beacon Electrix Systems?",$350 - $750 per project
2657,Summit General Contracting Builders,Scott Moore,Scott,Managing Partner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Chicago,IL,Midwest,scott.moore@summitbuilds.com,(780) 262-7668,https://www.summitbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,"Scott, takeoff support for Summit General Contracting Builders?","$600 - $1,800 per project (or $2,000/mo retainer)"
2658,Trident Electrix Contractors,Eric Lewis,Eric,President,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Chicago,IL,Midwest,estimating@tridentelectrix.com,(350) 532-1731,https://www.tridentelectrix.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),96,6,Ready for Dispatch,outsource takeoff support for Trident Electrix Contractors (Chicago),$350 - $700 per project
2659,Vanguard Construction Associates,Brad Robinson,Brad,Chief Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Minneapolis-St. Paul,MN,Midwest,brobinson@vanguardbuilds.com,(505) 524-2670,https://www.vanguardbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,7,Ready for Dispatch,bid capacity for Vanguard Construction Associates - 24-48 hr turnaround,$250 - $600 per project
2660,United General Contracting Solutions,Sarah Johnson,Sarah,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Miami-Fort Lauderdale,FL,Southeast,bids@unitedbuilds.com,(353) 563-9672,https://www.unitedbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for United General Contracting Solutions (Miami-Fort Lauderdale),"$600 - $1,800 per project (or $2,000/mo retainer)"
2661,Integrity Concrete Services,James Perez,James,VP of Operations,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Minneapolis-St. Paul,MN,Midwest,jperez@integrityconcrete.com,(859) 914-7104,https://www.integrityconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,bid capacity for Integrity Concrete Services - 24-48 hr turnaround,$300 - $800 per project
2662,United Floors Systems,Daniel Rodriguez,Daniel,Chief Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Boston,MA,Northeast,bids@unitedflooring.com,(327) 316-6941,https://www.unitedflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,"Daniel, takeoff support for United Floors Systems?",$150 - $350 per project
2663,Strategic Framing Construction,Matthew Davis,Matthew,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Tampa-St. Petersburg,FL,Southeast,estimating@strategicinteriors.com,(286) 346-7965,https://www.strategicinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,4,Ready for Dispatch,bid capacity for Strategic Framing Construction - 24-48 hr turnaround,$200 - $450 per project
2664,Benchmark Interiors Construction,Kevin Williams,Kevin,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Portland,OR,Northwest,kevin.williams@benchmarkinteriors.com,(226) 902-7549,https://www.benchmarkinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,bid capacity for Benchmark Interiors Construction - 24-48 hr turnaround,$200 - $450 per project
2665,United Electrix Enterprises,Daniel Robinson,Daniel,Chief Estimator,MEP - Electrical,Division 26 - Electrical,San Francisco Bay Area,CA,West,daniel.robinson@unitedelectrix.com,(735) 893-9703,https://www.unitedelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,bid capacity for United Electrix Enterprises - 24-48 hr turnaround,$350 - $750 per project
2666,Vanguard Flooring Services,David Thomas,David,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Columbus,OH,Midwest,david.thomas@vanguardflooring.com,(279) 713-1626,https://www.vanguardflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,scaling your Flooring & Tile bid volume without hiring full-time,$150 - $350 per project
2667,Benchmark Systems Partners,Jason Hernandez,Jason,Owner,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Houston,TX,South,bids@benchmarksystems.com,(394) 782-6106,https://www.benchmarksystems.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,1,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
